Rank,Username,Points Earned,Patreon Points,Points Spent,Total Current Points,,
1,SuperZu#1385,100,87,85,102,,
2,Rapid99#9203,98.5,3,50,51.5,,Notes:
3,KalKeg#4726,93,51,40,104,,Each GotM and RPGotQ game you complete gains you 1 point and each GotW game you complete gives you .5 points. You may complete as many games as you like for each month.
4,jaylash#3639,80,39,50,69,,
5,TerriblePerson#7247,78.5,0,0,78.5,,
6,JaLanimal#7353,74,38,60,52,,
7,LiquidDivide#1982,69.5,38,86,21.5,,"3$ Patron = 1 point per month, 5$/CHAMPION = 2, and LEGEND = 3."
8,Tardigrade#2464,63.5,0,0,63.5,,
9,mddk#4504,57.5,0,0,57.5,,Completing any Game of the Year Awards game at any point in 2023 earns you one point.
10,xarasu#9817,54.5,0,0,54.5,,
11,MaGi_TekK#7945,53.5,0,0,53.5,,"The Leaderboard is ranked by points earned through GotM, GotW, GotY, and RPGotQ; being ONLY a Patron won't rank you highly."
11,Noel ÒᵧÓ#7847,53.5,0,50,3.5,,
12,dirn#5856,53,0,0,53,,
13,MegaBarrakuda#7177,52.5,76,50,78.5,,Have fun! This spreadsheet is maintained by Rapid99. Message him on Discord should you notice any issues or have any questions.
14,PrismPak.EXE🌸#0784,50.5,18,0,68.5,,
15,StompyD#2445,49,0,0,49,,
16,VolfoniBros#4877,48,12,0,60,,
17,DamienWright#4545,46,56,50,52,,
18,Nackmatholn#3854,44,20,50,14,,
18,Doorhinge#4424,44,0,0,44,,
19,al_x#4016,42.5,0,0,42.5,,
20,Azile#8827,41,36,0,77,,
21,plaidman#5074,39,34,0,73,,
22,teeawgo#4628,37.5,0,15,22.5,,
22,ArlenB#6253,37.5,10,0,47.5,,
23,BillyZard#2079,37,8,0,45,,
24,Nate The Great#3557,36,0,0,36,,
25,vinsega#3803,35.5,0,0,35.5,,
25,willmasse#6020,35.5,0,0,35.5,,
26,Torrentus#8744,34.5,0,0,34.5,,
27,FreemanReborn#3461,34,0,0,34,,
28,psobloke#1048,31.5,0,0,31.5,,
29,smith &#9990,30.5,0,0,30.5,,
30,Transience8985#4838,30,31,0,61,,
31,GamesWithDad#2807,29.5,0,0,29.5,,
31,Supergrom#0921,29.5,26,50,5.5,,
31,Rusty Dusty#7412,29.5,0,0,29.5,,
32,pkdan#7487,27.5,12,0,39.5,,
33,Puce#5984,27,0,0,27,,
34,Dan W#5535,26.5,27,0,53.5,,
35,BatDan#8171,26,16,0,42,,
35,Espasol#5444,26,0,0,26,,
36,Timmy Stardust#9580,25.5,0,0,25.5,,
36,RyanPlugs#0687,25.5,0,0,25.5,,
36,Addie#0862,25.5,0,0,25.5,,
37,Red.#6180,25,0,0,25,,
37,09#7682,25,0,0,25,,
37,bo_ree_toe,25,6,0,31,,
38,MirrorB#6969,24.5,0,0,24.5,,
39,Raven Mage#3936,24,57,50,31,,
39,Lumus#4421,24,0,0,24,,
