id,user_id,nomination_id,points
1,12,59,0
2,12,66,0
3,12,67,0
4,12,70,0
5,12,88,0
6,20,97,0
7,12,112,0
8,12,127,0
9,12,120,0
10,151,136,0
11,151,133,0
12,162,149,0
13,162,154,0
14,162,153,0
15,12,170,0
16,12,166,0
17,12,173,0
18,20,190,0
19,20,193,0
20,20,194,0
21,20,203,0
22,20,202,0
23,33,227,0
24,107,268,1
25,107,254,1
26,107,246,1
27,72,290,1
28,207,343,1
29,9,346,1
30,121,397,1
31,193,440,1
32,121,449,1
33,107,496,1
34,107,478,1
35,107,499,1
36,2,517,1
37,139,539,1
38,264,587,1
39,74,602,1
40,74,637,1
41,74,607,1
42,57,676,1
43,35,704,1
44,35,710,1
45,80,753,1
46,27,765,1
47,27,781,1
48,106,823,1
49,139,863,1
50,27,939,1
51,27,926,1
52,59,977,1
53,59,957,1
54,59,955,1
55,124,67,0
56,3,88,0
57,12,102,0
58,20,112,0
59,20,116,0
60,162,136,0
61,162,133,0
62,12,149,0
63,12,154,0
64,12,153,0
65,11,170,0
66,11,166,0
67,162,190,0
68,162,193,0
69,162,194,0
70,27,203,0
71,27,202,0
72,50,233,0
73,124,268,1
74,225,290,1
75,169,306,1
76,169,343,1
77,43,346,1
78,45,400,1
79,45,397,1
80,261,440,1
81,122,449,1
82,91,478,1
83,91,499,1
84,265,508,1
85,34,539,1
86,34,552,1
87,12,570,1
88,12,587,1
89,12,581,1
90,34,607,1
91,183,676,1
92,205,704,1
93,205,710,1
94,106,753,1
95,200,765,1
96,214,823,1
97,248,862,1
98,248,873,1
99,248,863,1
100,205,910,1
101,205,926,1
102,54,957,1
103,10,67,0
104,10,70,0
105,10,88,0
106,2,97,0
107,151,105,0
108,2,120,0
109,11,136,0
110,151,153,0
111,151,170,0
112,151,166,0
113,15,193,0
114,162,204,0
115,162,203,0
116,162,202,0
117,19,233,0
118,164,268,1
119,164,254,1
120,70,290,1
121,70,299,1
122,121,343,1
123,65,346,1
124,236,400,1
125,216,440,1
126,216,437,1
127,106,454,1
128,74,478,1
129,74,499,1
130,205,517,1
131,225,539,1
132,20,587,1
133,20,581,1
134,42,602,1
135,161,676,1
136,161,648,1
137,91,710,1
138,163,737,1
139,163,753,1
140,53,765,1
141,12,823,1
142,12,838,1
143,255,863,1
144,175,910,1
145,66,977,1
146,66,957,1
147,66,955,1
148,198,67,0
149,6,97,0
150,82,115,0
151,10,116,0
152,2,136,0
153,2,140,0
154,2,133,0
155,6,149,0
156,6,154,0
157,6,153,0
158,239,170,0
159,27,193,0
160,27,194,0
161,11,203,0
162,11,202,0
163,56,227,0
164,221,268,1
165,238,283,1
166,76,343,1
167,249,346,1
168,107,397,1
169,172,440,1
170,172,446,1
171,110,449,1
172,225,499,1
173,224,517,1
174,177,539,1
175,177,552,1
176,11,570,1
177,11,587,1
178,11,581,1
179,81,607,1
180,255,676,1
181,10,704,1
182,177,737,1
183,185,765,1
184,185,772,1
185,185,781,1
186,20,823,1
187,257,863,1
188,250,910,1
189,171,957,1
190,7,67,0
191,3,99,0
192,3,112,0
193,151,127,0
194,12,136,0
195,12,140,0
196,12,133,0
197,27,153,0
198,162,170,0
199,162,173,0
200,12,190,0
201,12,193,0
202,12,194,0
203,6,204,0
204,6,203,0
205,6,202,0
206,43,233,0
207,165,268,1
208,165,254,1
209,165,246,1
210,45,290,1
211,45,283,1
212,45,299,1
213,163,343,1
214,85,346,1
215,3,400,1
216,231,440,1
217,100,454,1
218,228,496,1
219,228,478,1
220,108,524,1
221,130,552,1
222,6,570,1
223,6,581,1
224,146,602,1
225,180,680,1
226,65,704,1
227,65,710,1
228,218,753,1
229,171,765,1
230,171,781,1
231,11,838,1
232,182,863,1
233,35,910,1
234,12,977,1
235,12,957,1
236,12,955,1
237,2,67,0
238,11,116,0
239,9,136,0
240,236,153,0
241,5,170,0
242,193,190,0
243,59,203,0
244,86,233,0
245,234,246,1
246,252,299,1
247,83,343,1
248,183,346,1
249,166,400,1
250,166,397,1
251,166,418,1
252,12,440,1
253,12,446,1
254,12,437,1
255,178,470,1
256,231,499,1
257,114,524,1
258,114,517,1
259,254,539,1
260,15,570,1
261,15,581,1
262,127,602,1
263,127,637,1
264,129,676,1
265,116,704,1
266,139,753,1
267,217,765,1
268,217,781,1
269,6,772,1
270,6,838,1
271,42,863,1
272,123,910,1
273,149,957,1
274,149,955,1
275,3,67,0
276,20,133,0
277,20,153,0
278,6,170,0
279,6,166,0
280,35,190,0
281,35,193,0
282,35,194,0
283,35,204,0
284,35,203,0
285,35,202,0
286,54,233,0
287,261,268,1
288,260,290,1
289,260,283,1
290,233,343,1
291,206,346,1
292,88,400,1
293,88,418,1
294,20,440,1
295,12,454,1
296,12,449,1
297,12,470,1
298,13,478,1
299,42,517,1
300,116,539,1
301,162,570,1
302,162,587,1
