id,screenscraper_id,img,year,system,developer,genre,time_to_beat,title_usa,title_eu,title_jap,title_world,title_other
1,2623,https://screenscraper.fr/image.php?gameid=2623&media=ss&maxwidth=640&maxheight=480&region=wor,1993,Super Nintendo,Nintendo,Flight Simulator,,Turn and Burn: No-Fly Zone,,,,
2,2612,https://screenscraper.fr/image.php?gameid=2612&media=ss&maxwidth=640&maxheight=480&region=wor,1992,Super Nintendo,Koei,Simulation,4,Aerobiz Supersonic,,Air Management II: Koukuu Ou o Mezase,,
3,2143,https://screenscraper.fr/image.php?gameid=2143&media=ss&maxwidth=640&maxheight=480&region=wor,1995,Super Nintendo,Square,JRPG,23,,,,Chrono Trigger,
4,36,https://screenscraper.fr/image.php?gameid=36&media=ss&maxwidth=640&maxheight=480&region=wor,1995,Sega Genesis,Treasure,Run 'n Gun,3,,Alien Soldier,,,
5,19494,https://screenscraper.fr/image.php?gameid=19494&media=ss&maxwidth=640&maxheight=480&region=wor,1996,Sony PlayStation,Single Trac,Vehicular Combat,5,Twisted Metal 2,,,,
6,5396,https://screenscraper.fr/image.php?gameid=5396&media=ss&maxwidth=640&maxheight=480&region=wor,1996,Nintendo 64,Nintendo,3D Platformer,12,,,,Super Mario 64,
7,19519,https://screenscraper.fr/image.php?gameid=19519&media=ss&maxwidth=640&maxheight=480&region=wor,1999,Sony PlayStation,Psygnosis,Racing,12,WipEout 3,Wip3out,,,
8,84080,https://screenscraper.fr/image.php?gameid=84080&media=ss&maxwidth=640&maxheight=480&region=wor,2002,Nintendo Gameboy Advance,,Action,5.5,"Lord of the Rings, The: The Two Towers",,,,
9,3773,https://screenscraper.fr/image.php?gameid=3773&media=ss&maxwidth=640&maxheight=480&region=wor,2001,Nintendo Gameboy Advance,Intelligent Systems,Turn-Based Strategy,27,Advanced Wars 2: Black Hole Rising,,,,
10,1336,https://screenscraper.fr/image.php?gameid=1336&media=ss&maxwidth=640&maxheight=480&region=jp,1987,NES,Lucasfilm Games,Graphic adventure,3,,,,Maniac Mansion,
11,66209,https://screenscraper.fr/image.php?gameid=66209&media=ss&maxwidth=640&maxheight=480&region=wor,1991,Game Boy,Konami,Roguelike,3,,,Cave Noire,,
12,2489,https://screenscraper.fr/image.php?gameid=2489&media=ss&maxwidth=640&maxheight=480&region=wor,1992,SNES,Video Systems,Sports,2,Hyper V-Ball,,Super Volley II,,
13,364,https://screenscraper.fr/image.php?gameid=364&media=ss&maxwidth=640&maxheight=480&region=wor,1993,Sega Genesis/Mega Drive,Electronic Arts,Action,2,Haunting: Starring Polterguy,,,,
14,425,https://screenscraper.fr/image.php?gameid=425&media=ss&maxwidth=640&maxheight=480&region=wor,1993,Sega Genesis/Mega Drive,SEGA,Beat 'em up,1,,,,Cyborg Justice,
15,2493,https://screenscraper.fr/image.php?gameid=2493&media=ss&maxwidth=640&maxheight=480&region=wor,1994,SNES,Kemco,Platform,1,Kid Klown in Crazy Chase,,,,
16,19887,https://screenscraper.fr/image.php?gameid=19887&media=ss&maxwidth=640&maxheight=480&region=jp,1994,PlayStation,Konami,Visual Novel,11.5,,,,Policenauts,
17,19828,https://screenscraper.fr/image.php?gameid=19828&media=ss&maxwidth=640&maxheight=480&region=wor,1996,PlayStation,Insomniac Games,First-person shooter,4,,,,Disruptor,
18,19330,https://screenscraper.fr/image.php?gameid=19330&media=ss&maxwidth=640&maxheight=480&region=wor,1996,PlayStation,Media.Vision,RPG,29,,,,Wild Arms,
19,5570,https://screenscraper.fr/image.php?gameid=5570&media=ss&maxwidth=640&maxheight=480&region=wor,1997,Nintendo 64,Atlus,Racing,4.5,,,,Snowboard Kids,
20,37229,https://screenscraper.fr/image.php?gameid=37229&media=ss&maxwidth=640&maxheight=480&region=wor,2000,Game Boy Color,Nintendo,Platform,11.5,,,,Wario Land 3,
21,82379,https://screenscraper.fr/image.php?gameid=82379&media=ss&maxwidth=640&maxheight=480&region=wor,2001,Game Boy Color,Nintendo,Action-adventure,15.5,The Legend of Zelda: Oracle of Seasons,,Zelda no Densetsu - Fushigi no Kinomi - Daichi no Shou,,
22,4268,https://screenscraper.fr/image.php?gameid=4268&media=ss&maxwidth=640&maxheight=480&region=wor,2003,Game Boy Advance,Atlus,Action RPG,14,Summon Night: Swordcraft Story,,Summon Night: Craft Sword Monogatari,,
23,4173,https://screenscraper.fr/image.php?gameid=4173&media=ss&maxwidth=640&maxheight=480&region=wor,2005,Game Boy Advance,Game Freak,Action/Platform,5.5,Drill Dozer,,Screw Breaker: Goushin DoriRureRo,,
24,5783,https://screenscraper.fr/image.php?gameid=5783&media=ss&maxwidth=640&maxheight=480&region=wor,2011,Nintendo DS,Tose,RPG,23.5,Dragon Quest Monsters: Joker 2,,,,
25,3183,https://screenscraper.fr/image.php?gameid=3183&media=ss&maxwidth=640&maxheight=480&region=wor,1993,Game Boy,Konami,Platform,2,Kid Dracula,,Akumajou Special: Boku Dracula-kun,,
26,3776,https://screenscraper.fr/image.php?gameid=3776&media=ss&maxwidth=640&maxheight=480&region=wor,2003,Game Boy Advance,Konami,Metroidvania,7,Castlevania: Aria of Sorrow,,,,
27,157695,https://screenscraper.fr/image.php?gameid=157695&media=ss&maxwidth=640&maxheight=480&region=wor,1995,MS-DOS,Gorilla Systems,Puzzle,10,,,,FlipOut!,
28,1465,https://screenscraper.fr/image.php?gameid=1465&media=ss&maxwidth=640&maxheight=480&region=wor,1991,NES,Irem,Action/Platform,2,Metal Storm,,Juuryoku Soukou Metal Storm,,
29,1657,https://screenscraper.fr/image.php?gameid=1657&media=ss&maxwidth=640&maxheight=480&region=us,1989,NES,Rare,Action-adventure,3,,,,Who Framed Roger Rabbit,
30,5421,https://screenscraper.fr/image.php?gameid=5421&media=ss&maxwidth=640&maxheight=480&region=wor,1999,Nintendo 64,Acclaim,Action-adventure,14.5,Shadow Man,,,,
31,5394,https://screenscraper.fr/image.php?gameid=5394&media=ss&maxwidth=640&maxheight=480&region=wor,2000,Nintendo 64,Nintendo,Action-adventure,20.5,The Legend of Zelda: Majora's Mask,,,,
32,5831,https://screenscraper.fr/image.php?gameid=5831&media=ss&region=us&maxwidth=640&maxheight=480,2009,Nintendo DS,Chunsoft,Visual Novel,9.5,"Nine Hours, Nine Persons, Nine Doors (999)",,,,
33,19622,https://screenscraper.fr/image.php?gameid=19622&media=ss&maxwidth=640&maxheight=480&region=eu,1997,PlayStation,Capcom,Fighting,1,Darkstalkers 3,,Vampire Savior,,
34,19252,https://screenscraper.fr/image.php?gameid=19252&media=ss&maxwidth=640&maxheight=480&region=wor,1999,PlayStation,Capcom,Survival horror,6.5,,,,Dino Crisis,
35,19281,https://screenscraper.fr/image.php?gameid=19281&media=ss&maxwidth=640&maxheight=480&region=wor,1998,PlayStation,Sony,Action-adventure,6,MediEvil,,MediEvil: Yomigaetta Garomea no Yuusha,,
36,19628,https://screenscraper.fr/image.php?gameid=19628&media=ss&maxwidth=640&maxheight=480&region=wor,1997,PlayStation,Activision,Survival horror,6.5,Nightmare Creatures,,,,
37,19308,https://screenscraper.fr/image.php?gameid=19308&media=ss&maxwidth=640&maxheight=480&region=wor,1998,PlayStation,SquareSoft,Action RPG,9.5,,,,Parasite Eve,
38,1194,https://screenscraper.fr/image.php?gameid=1194&media=ss&maxwidth=640&maxheight=480&region=wor,1994,Sega Genesis/Mega Drive,Sega,Multidirectional shooter,1,,,,Sub-terrania,
39,2197,https://screenscraper.fr/image.php?gameid=2197&media=ss&maxwidth=640&maxheight=480&region=jp,1995,SNES,Human Entertainment,Point-and-click adventure,2.5,,,Clock Tower,,
40,2219,https://screenscraper.fr/image.php?gameid=2219&media=ss&maxwidth=640&maxheight=480&region=wor,1994,SNES,Capcom,Platform,3.5,Demon's Crest,,Demon's Blazon: Makaimura Monshou Hen,,
41,19248,https://screenscraper.fr/image.php?gameid=19248&media=ss&maxwidth=640&maxheight=480&region=wor,1993,SNES,LucasArts,Run 'n Gun,7.5,Zombies Ate My Neighbors,Zombies,,,
42,36998,https://screenscraper.fr/image.php?gameid=36998&media=ss&maxwidth=640&maxheight=480&region=wor,2002,GBC,WayForward,Platform,9,Shantae,,,,
43,19347,https://screenscraper.fr/image.php?gameid=19347&media=ss&maxwidth=640&maxheight=480&region=wor,2000,PSX,Kronos Digital Entertainment,Action-Adventure,6.5,Fear Effect,,,,
44,19292,https://screenscraper.fr/image.php?gameid=19292&media=ss&maxwidth=640&maxheight=480&region=wor,1999,PSX,tri-Ace,Role-Playing,33,Valkyrie Profile,,,,
45,27886,https://screenscraper.fr/image.php?gameid=27886&media=ss&maxwidth=640&maxheight=480&region=wor,2009,PSP,Atlus,Role-Playing,66.5,Shin Megami Tensei: Persona 3 Portable,,Persona 3 portable,,
46,768,https://screenscraper.fr/image.php?gameid=768&media=ss&maxwidth=640&maxheight=480&region=wor,1987,Master System,Sega,Role-Playing,17,,,,Phantasy Star,
47,19407,https://screenscraper.fr/image.php?gameid=19407&media=ss&maxwidth=640&maxheight=480&region=jp,2000,PSX,Atlus,Role-Playing,51.5,Persona 2: Eternal Punishment,,Persona 2: Batsu,,
48,3767,https://screenscraper.fr/image.php?gameid=3767&media=ss&maxwidth=640&maxheight=480&region=wor,2002,GBA,Nintendo,Metroidvania,5,,,,Metroid Fusion,
49,37071,https://screenscraper.fr/image.php?gameid=37071&media=ss&maxwidth=640&maxheight=480&region=wor,2001,GBC,Enix,Role-Playing,38,Dragon Warrior Monsters 2 Tara's Adventure,,Dragon Quest Monsters 2: Malta no Fushigina Kagi - Iru no Bouken,,
50,5403,https://screenscraper.fr/image.php?gameid=5403&media=ss&maxwidth=640&maxheight=480&region=wor,2000,N64,Rare,First-Person shooter,9,,,,Perfect Dark,
51,2181,https://screenscraper.fr/image.php?gameid=2181&media=ss&maxwidth=640&maxheight=480&region=wor,1996,SNES,Rare,Platformer,5,Donkey Kong Country 3: Dixie Kong's Double Trouble,,Super Donkey Kong 3: Nazo no Kremis-tou,,
52,19268,https://screenscraper.fr/image.php?gameid=19268&media=ss&maxwidth=640&maxheight=480&region=wor,1996,PSX,Eidos,Action-Adventure,15.5,Tomb Raider,,Tomb Raiders,,
53,7,https://screenscraper.fr/image.php?gameid=7&media=ss&maxwidth=640&maxheight=480&region=wor,1991,Mega Drive,Sega,Beat 'em up,1.5,Streets of Rage,,Bare Knuckle: Ikari no Tekken,,
54,19406,https://screenscraper.fr/image.php?gameid=19406&media=ss&maxwidth=640&maxheight=480&region=wor,1999,PSX,Universal Studios,Hack and slash,4,Xena: Warrior Princess,,,,
55,20028,https://screenscraper.fr/image.php?gameid=20028&media=ss&maxwidth=640&maxheight=480&region=wor,1999,PSX,Namco,Rhythm game,2,Um jammer lammy,,,,
56,1660,https://screenscraper.fr/image.php?gameid=1660&media=ss&region=jp&maxwidth=640&maxheight=480&region=jp,1985,NES,Namco,Multi-Directional Shooter,1,,,Battle City,,
57,1343,https://screenscraper.fr/image.php?gameid=1343&media=ss&maxwidth=640&maxheight=480&region=wor,1989,NES,Sunsoft,Action,2,Fester’s Quest,,,,
58,1546,https://screenscraper.fr/image.php?gameid=1546&media=ss&region=us&maxwidth=640&maxheight=480,1990,NES,Software Creations,Scrolling Shooter,1,Silver Surfer,,,,
59,40928,https://screenscraper.fr/image.php?gameid=40928&media=ss&maxwidth=640&maxheight=480&region=wor,1992,Arcade,Taito,Fighting,,,,,Dino Rex,
60,19640,https://screenscraper.fr/image.php?gameid=19640&media=ss&maxwidth=640&maxheight=480&region=wor,1996,PS1,Lucasarts,Rail-Shooter,4,,,,Star Wars: Rebel Assault II: The Hidden Empire,
61,5497,https://screenscraper.fr/image.php?gameid=5497&media=ss&maxwidth=640&maxheight=480&region=wor,1999,N64,VIS Interactive,Platformer,9,Earthworm Jim 3D,,,,
62,5427,https://screenscraper.fr/image.php?gameid=5427&media=ss&maxwidth=640&maxheight=480&region=wor,1999,N64,Titus Interactive,Action-Adventure,4,Superman: The new Superman Adventures,Superman,,,Superman 64
63,103499,https://screenscraper.fr/image.php?gameid=103499&media=ss&maxwidth=640&maxheight=480&region=wor,2000,PS1,n-Space,"Action, Rhythm",,Mary-Kate and Ashley: Magical Mystery Mall,,,,
64,19886,https://screenscraper.fr/image.php?gameid=19886&media=ss&maxwidth=640&maxheight=480&region=wor,2001,PS1,Runecraft,Action-Adventure,1,,,,Barbie Explorer,
65,4315,https://screenscraper.fr/image.php?gameid=4315&media=ss&maxwidth=640&maxheight=480&region=wor,2002,GBA,THQ,Platformer,5,Spongebob Squarepants - Revenge of the Flying Dutchman,,,,
66,2144,https://screenscraper.fr/image.php?gameid=2144&media=ss&maxwidth=640&maxheight=480&region=wor,1990,SNES,Nintendo,Platformer,5,Super Mario World,,Super Mario World: Super Mario Bros. 4,,
67,77,https://screenscraper.fr/image.php?gameid=77&media=ss&maxwidth=640&maxheight=480&region=wor,1990,Sega Genesis/Megadrive,Sega,RPG,20,Phantasy Star III: Generations of Doom,,Toki no Keishousha: Phantasy Star III,,
68,20066,https://screenscraper.fr/image.php?gameid=20066&media=ss&maxwidth=640&maxheight=480&region=wor,1998,PS1,Atlus,RPG,26,Thousand Arms,,,,
69,19253,https://screenscraper.fr/image.php?gameid=19253&media=ss&maxwidth=640&maxheight=480&region=wor,1999,PS1,Squaresoft,RPG,41,,,,Final Fantasy VIII,
70,19255,https://screenscraper.fr/image.php?gameid=19255&media=ss&maxwidth=640&maxheight=480&region=wor,1999,PS1,Tri-Ace,RPG,39,,,,Star Ocean: The Second Story,
71,5489,https://screenscraper.fr/image.php?gameid=5489&media=ss&maxwidth=640&maxheight=480&region=wor,1999,N64,Natsume,Farm Simulation,44,Harvest Moon 64,,Bokujou Monogatari 2,,
72,28549,https://screenscraper.fr/image.php?gameid=28549&media=ss&maxwidth=640&maxheight=480&region=wor,2006,PSP,Namco Bandai,RPG,23,Legend Of Heroes II: Prophecy of the Moonlight Witch,,,,
