id,nomination_type,game_id,user_id,description,theme_id,is_winner
1,0,1,155,,1,0
2,0,2,13,,1,0
3,0,3,1,,1,1
4,0,4,1,,1,0
5,0,5,1,,1,0
6,0,6,1,,1,1
7,0,7,1,,1,0
8,0,8,154,,1,0
9,0,9,155,,1,1
10,0,10,1,"During his time as a developer/designer, Ron Gilbert made this masterpiece alongside some other little titles like Secret of Monkey Island (1 and 2), Deathspank and Thimbleweed Park, oh... and the SCUMM game engine. It's a funny, fun, and short point-and-click adventure game with insanely good 8-bit beats.",2,0
11,0,11,1,"A deep roguelike experience that doesn’t over-complicate things, accomplished in 1991 on the freaking Gameboy, no less! Unlike the long campaigns of, say, Dragon Quest or Final Fantasy, Cave Noire has only 4 dungeons. However, each involves unique, smart, and fun objectives. Thanks to its 10 difficulty levels, Cave Noire is a great pick up and play game for everyone!",2,0
12,0,12,1,"Hyper V-Ball is a volleyball game where you can play as Man, Woman or Hyper League. The human gameplay is fun enough: as a human, you get to pick a country and play a world series. But where Hyper V-Ball really shines is the robot gameplay. As a robot team, you get to relish in all the special abilities and power-ups that you could hope for in such a thing as robot volleyball. ",2,0
13,0,13,1,"As a rebellious punk teenager turned poltergeist, it's your job to scare the living daylights out of the Sardini family in this classic comedy-horror title from Electronic Arts. With a great deal of gameplay variety, including trips to the underworld and the rather unique concept of possessing household objects, Haunting Starring Polterguy is ""so fun, it's scary!""",2,0
14,0,14,1,"Cyborg Justice is a side-scrolling beat-em-up game in which you create your own cyborg, and can steal body parts from enemy cyborgs to use yourself. After your death at the hands of a spaceship crash onto a remote mining facility, your brain is harvested into a cyborg body, and your memory is wiped clean. But when that memory wipe operation fails, you must use your wits and your cyborg powers to escape.",2,0
15,0,15,1,"In Kid Klown in the Crazy Chase, players control the character Kid Klown as he attempts to rescue Princess Honey from the villain Black Jack. With gorgeous, cartoon-like animation and a unique isometric perspective, KKCC stands out as a wildly unique platformer. Depending on the players' success in saving Princess Honey and obtaining the Honey Heart collectibles, three different endings are achievable.",2,0
16,0,16,1,"Before Konami's Metal Gear Solid took the PlayStation by storm, its creator - Hideo Kojima - explored his cinematic ambitions for gaming in a very different form: an endlessly stylish cyberpunk adventure game. Jonathon Ingram, one of five ""Policenauts"", wakes up 28 years after a spacewalk gone wrong to discover that his team has succeeded. Now, mankind lives among the stars.",2,1
17,0,17,1,"Before reaching the fame-worthy heights of games like Spyro the Dragon, Insomniac Games debuted with this challenging and addictive sci-fi FPS. It adds some unique twists to the formula, such as 'psionics', which are basically Jedi-like powers for a quick end to the baddies. A surprisingly fresh FPS that still holds up.",2,0
