id,discord_name_original,display_name,discord_name,discord_id,premium
1,DELETED,Unknown,DELETED,,,
2,FlatFootFox (He/Him)#5297,FlatFootFox,flatfootfox,188841784808439818,
3,Whitty#2502,Whitty,whitt_3,215576866474557441,
4,BasicTrips#0228,BasicTrips,basictrips,166272413930094594,
5,Thor!#9438,Thor!,thor9438,204797011122192384,
6,LiquidDivide#1982,LiquidDivide,liquiddivide,333502637687177216,champion
7,eems#0001,eems,eems,280270248387805184,legend
8,RaycePenguin#3715,RaycePenguin,raycepenguin,655181427863978004,
9,BrokenOpus#1593,Opus,brokenopus,370909091008086016,
10,StubbornPixel#8226,Stubbs,stubbornpixel,740981656793645137,legend
11,JaLanimal#7353,JaLanimal,jalanimal,637989469777035266,champion
12,Rapid99#9203,Rapid99,rapid99,285155718934560790,legend
13,choosh#0347,Choosh,choosh,445572405168046081,
14,tastelessone#8534,tastelessone,,171533164206882817,
15,PrismPak.EXE🌸#0784,🌸PrismPak.EXE🌸,prismpak,157284092948250625,champion
16,Pradyumna#5258,Pradyumna,.pradyumna,357022268188131328,
17,moved accounts#1816,moved accounts,movedaccountslol,449028854510649345,
18,kewlpinguino#5918,kewlpinguino,kewlpinguino,181510747120074753,
19,victoria//silverdusk#7557,victoria//silverdusk,silverdusk,237342036825473036,
20,VolfoniBros#4877,VolfoniBros,volfonibros,425265787910225940,supporter
21,jokamax#9698,jokamax,jokamax,451027058597036042,
22,SetsunaGuerrero#4910,SetsunaGuerrero,setsunaguerrero,689268214370402422,
23,DamienWright#4545,MILKWALKER,milkwalker,219821351719010315,legend
24,U̷͛͑M̴̒̒B̴̈́̉Ṙ̴̛A̷̿̕#3864,U̷͛͑M̴̒̒B̴̈́̉Ṙ̴̛A̷̿̕,umbralchaos,616656014120452113,
25,Wonderfool#9994,Blunderfool,wonderfool9994,329056788186136587,
26,lostinreverie#4696,lostinreverie,,511046413308657674,
27,Axryn#1897,Axryn,axryn,201554444700221441,legend
28,Big Hat Paul#1991,Big Hat Paul,bighatpaul,141351405083426816,
29,honeyboy#2920,honeyboy,,313429151023497216,
30,damian.iw#0,Damian,damian.iw,,
31,Fd05#1778,fd05,,590176923666219020,
32,KalKeg#4726,KalKeg,kalkeg,428205177447907328,legend
33,Wolfie#7420,Wolfie,wolfieduh,418174383228452895,
34,Nate The Great#3557,Nate The Great,natethegreat_,199659257602375680,
35,Crazydave#7945,Crazydave,crazydave7945,252342395683733514,
36,dollerbill#9615,rpgbill,dollerbill,154814043687747584,legend
37,Transience8985#4838,Transcience8985,transience8985,330561079023239168,champion
38,Voxel Villager#6567,Voxel Villager,,731151954834882581,
39,TheRomGnome#5950,TheRomGnome,theromgnome,840266144866238545,
40,Cebion#2797,Cebion,.cebion,576856879586738206,
41,biraj#2313,Biraj,,1062709960917667851,
42,Capt.RobotMan#9830,Capt.RobotMan,,817203433600974848,
43,Cognative 🧙#0098,Cognative,.cognative,302471528941879296,
44,afro_toast#0558,kirbytoast_,kirbytoast_,174533280459259906,
45,Zero101#8474,Zero101,zer101.,193105560441323520,
46,Wilk#7158,Wilk,heywilk,266769009528012800,
47,chespace#5438,chespace,chespace,442225735068024833,legend
48,MegaBarrakuda#7177,MegaBarrakuda,megabarrakuda,267108166574014465,legend
49,v4ndyk3_chris#0,V4nDyk3_Chris,v4ndyk3_chris,,
50,Raven Mage#3936,Raven Mage,ravenmage,361603678391500810,supporter
51,plaidman#5074,plaidman,plaid.man,218890105241337857,
52,Rocked_socks#4518,Rocked_socks,rocked_socks,531535906214117376,
